id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
267;A598;TRICOMONIASIS DE OTROS SITIOS;4;A
268;A599;TRICOMONIASIS, NO ESPECIFICADA;4;A
269;A600;INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE];4;A
270;A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE;4;A
271;A609;INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION;4;A
272;A630;VERRUGAS (VENEREAS) ANOGENITALES;4;A
273;A638;OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS;4;A
274;A64;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA;4;A
275;A65;SIFILIS NO VENEREA;4;A
276;A660;LESIONES INICIALES DE FRAMBESIA;4;A
277;A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO;4;A
278;A662;OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA;4;A
279;A663;HIPERQUERATOSIS DE FRAMBESIA;4;A
280;A664;GOMA Y ULCERAS DE FRAMBESIA;4;A
281;A665;GANGOSA;4;A
282;A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES;4;A
283;A667;OTRAS MANIFESTACIONES DE FRAMBESIA;4;A
284;A668;FRAMBESIA LATENTE;4;A
285;A669;FRAMBESIA , NO ESPECIFICADA;4;A
286;A670;LESIONES PRIMARIAS DE LA PINTA;4;A
287;A671;LESIONES INTERMEDIAS DE LA PINTA;4;A
288;A672;LESIONES TARDIAS DE LA PINTA;4;A
289;A673;LESIONES MIXTAS DE LA PINTA;4;A
290;A679;PINTA, NO ESPECIFICADA;4;A
291;A680;FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS;4;A
292;A681;FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS;4;A
293;A689;FIEBRE RECURRENTE, NO ESPECIFICADA;4;A
