id;id_tarifario;codigo_compuesto;codigo_simple
1292;1;34402;890810
1293;1;35101;890810
1294;1;35102;890810
1295;1;35103;890810
1296;1;35104;890810
1297;1;35105;890810
1298;1;35106;890810
1299;1;35107;890810
1300;1;35108;890810
1301;1;35201;890810
1302;1;35202;890810
1303;1;35401;890810
1304;1;35402;890810
1305;1;36100;890810
1306;1;37100;890810
1307;1;37200;890810
1308;1;37300;890810
1309;1;37400;890810
1310;1;37500;890810
1311;1;38200;890810
1312;1;39001;890810
1313;1;39002;890810
1314;1;39301;890810
1315;1;39302;890810
1316;1;40101;890810
1317;1;40102;890810
1318;1;40103;890810
1319;1;40104;890810
1320;1;40200;890810
1321;1;40301;890810
1322;1;40705;890810
1323;1;40706;890810
1324;1;40707;890810
1325;1;40708;890810
1326;1;40709;890810
1327;1;40710;890810
