ID;FK_TARIFARIO;COD_ARTICULO;PARAGRAFO;FK_CODIGO_CUPS;DESCRIPCION;TIPO_PARAGRAFO
248;1;1;aplica 1;42307;Procedimiento No aplica para la Edad o Sexo.;edad
249;1;1;aplica 1;42308;Procedimiento No aplica para la Edad o Sexo.;edad
250;1;1;aplica 1;43001;Procedimiento No aplica para la Edad o Sexo.;edad
251;1;1;aplica 1;43102;Procedimiento No aplica para la Edad o Sexo.;edad
252;1;1;aplica 1;43103;Procedimiento No aplica para la Edad o Sexo.;edad
253;1;1;aplica 1;43104;Procedimiento No aplica para la Edad o Sexo.;edad
254;1;1;aplica 1;43105;Procedimiento No aplica para la Edad o Sexo.;edad
255;1;1;aplica 1;43106;Procedimiento No aplica para la Edad o Sexo.;edad
256;1;1;aplica 1;43107;Procedimiento No aplica para la Edad o Sexo.;edad
257;1;1;aplica 1;43108;Procedimiento No aplica para la Edad o Sexo.;edad
258;1;1;aplica 1;43109;Procedimiento No aplica para la Edad o Sexo.;edad
259;1;1;aplica 1;44101;Procedimiento No aplica para la Edad o Sexo.;edad
260;1;1;aplica 1;44203;Procedimiento No aplica para la Edad o Sexo.;edad
261;1;1;aplica 1;44204;Procedimiento No aplica para la Edad o Sexo.;edad
262;1;1;aplica 1;44205;Procedimiento No aplica para la Edad o Sexo.;edad
263;1;1;aplica 1;44206;Procedimiento No aplica para la Edad o Sexo.;edad
264;1;1;aplica 1;44207;Procedimiento No aplica para la Edad o Sexo.;edad
265;1;1;aplica 1;44208;Procedimiento No aplica para la Edad o Sexo.;edad
266;1;1;aplica 1;44301;Procedimiento No aplica para la Edad o Sexo.;edad
267;1;1;aplica 1;44311;Procedimiento No aplica para la Edad o Sexo.;edad
268;1;1;aplica 1;44400;Procedimiento No aplica para la Edad o Sexo.;edad
269;1;1;aplica 1;44501;Procedimiento No aplica para la Edad o Sexo.;edad
270;1;1;aplica 1;44502;Procedimiento No aplica para la Edad o Sexo.;edad
271;1;1;aplica 1;44503;Procedimiento No aplica para la Edad o Sexo.;edad
272;1;1;aplica 1;44504;Procedimiento No aplica para la Edad o Sexo.;edad
273;1;1;aplica 1;44506;Procedimiento No aplica para la Edad o Sexo.;edad
274;1;1;aplica 1;44507;Procedimiento No aplica para la Edad o Sexo.;edad
275;1;1;aplica 1;44508;Procedimiento No aplica para la Edad o Sexo.;edad
276;1;1;aplica 1;45100;Procedimiento No aplica para la Edad o Sexo.;edad
277;1;1;aplica 1;45101;Procedimiento No aplica para la Edad o Sexo.;edad
278;1;1;aplica 1;46101;Procedimiento No aplica para la Edad o Sexo.;edad
279;1;1;aplica 1;47101;Procedimiento No aplica para la Edad o Sexo.;edad
280;1;1;aplica 1;47102;Procedimiento No aplica para la Edad o Sexo.;edad
281;1;1;aplica 1;48100;Procedimiento No aplica para la Edad o Sexo.;edad
282;1;1;aplica 1;48101;Procedimiento No aplica para la Edad o Sexo.;edad
283;1;1;aplica 1;48200;Procedimiento No aplica para la Edad o Sexo.;edad
284;1;1;aplica 1;48300;Procedimiento No aplica para la Edad o Sexo.;edad
285;1;1;aplica 1;51100;Procedimiento No aplica para la Edad o Sexo.;edad
286;1;1;aplica 1;52101;Procedimiento No aplica para la Edad o Sexo.;edad
287;1;1;aplica 1;52200;Procedimiento No aplica para la Edad o Sexo.;edad
288;1;1;aplica 1;52300;Procedimiento No aplica para la Edad o Sexo.;edad
289;1;1;aplica 1;52401;Procedimiento No aplica para la Edad o Sexo.;edad
290;1;1;aplica 1;52601;Procedimiento No aplica para la Edad o Sexo.;edad
291;1;1;aplica 1;52602;Procedimiento No aplica para la Edad o Sexo.;edad
292;1;1;aplica 1;52603;Procedimiento No aplica para la Edad o Sexo.;edad
293;1;1;aplica 1;53101;Procedimiento No aplica para la Edad o Sexo.;edad
294;1;1;aplica 1;53102;Procedimiento No aplica para la Edad o Sexo.;edad
295;1;1;aplica 1;53103;Procedimiento No aplica para la Edad o Sexo.;edad
296;1;1;aplica 1;53104;Procedimiento No aplica para la Edad o Sexo.;edad
297;1;1;aplica 1;53105;Procedimiento No aplica para la Edad o Sexo.;edad
298;1;1;aplica 1;53106;Procedimiento No aplica para la Edad o Sexo.;edad
299;1;1;aplica 1;53107;Procedimiento No aplica para la Edad o Sexo.;edad
300;1;1;aplica 1;53108;Procedimiento No aplica para la Edad o Sexo.;edad
301;1;1;aplica 1;53109;Procedimiento No aplica para la Edad o Sexo.;edad
302;1;1;aplica 1;53110;Procedimiento No aplica para la Edad o Sexo.;edad
303;1;1;aplica 1;53111;Procedimiento No aplica para la Edad o Sexo.;edad
304;1;1;aplica 1;53112;Procedimiento No aplica para la Edad o Sexo.;edad
305;1;1;aplica 1;53113;Procedimiento No aplica para la Edad o Sexo.;edad
306;1;1;aplica 1;53114;Procedimiento No aplica para la Edad o Sexo.;edad
307;1;1;aplica 1;53115;Procedimiento No aplica para la Edad o Sexo.;edad
308;1;1;aplica 1;53121;Procedimiento No aplica para la Edad o Sexo.;edad
309;1;1;aplica 1;53201;Procedimiento No aplica para la Edad o Sexo.;edad
310;1;1;aplica 1;53202;Procedimiento No aplica para la Edad o Sexo.;edad
311;1;1;aplica 1;53203;Procedimiento No aplica para la Edad o Sexo.;edad
312;1;1;aplica 1;53204;Procedimiento No aplica para la Edad o Sexo.;edad
313;1;1;aplica 1;53205;Procedimiento No aplica para la Edad o Sexo.;edad
314;1;1;aplica 1;53206;Procedimiento No aplica para la Edad o Sexo.;edad
315;1;1;aplica 1;53207;Procedimiento No aplica para la Edad o Sexo.;edad
316;1;1;aplica 1;53301;Procedimiento No aplica para la Edad o Sexo.;edad
317;1;1;aplica 1;53303;Procedimiento No aplica para la Edad o Sexo.;edad
318;1;1;aplica 1;54101;Procedimiento No aplica para la Edad o Sexo.;edad
319;1;1;aplica 1;54102;Procedimiento No aplica para la Edad o Sexo.;edad
320;1;1;aplica 1;54103;Procedimiento No aplica para la Edad o Sexo.;edad
321;1;1;aplica 1;54201;Procedimiento No aplica para la Edad o Sexo.;edad
322;1;1;aplica 1;54202;Procedimiento No aplica para la Edad o Sexo.;edad
323;1;1;aplica 1;54203;Procedimiento No aplica para la Edad o Sexo.;edad
324;1;1;aplica 1;55100;Procedimiento No aplica para la Edad o Sexo.;edad
325;1;1;aplica 1;55101;Procedimiento No aplica para la Edad o Sexo.;edad
326;1;1;aplica 1;55200;Procedimiento No aplica para la Edad o Sexo.;edad
327;1;1;aplica 1;60100;Procedimiento No aplica para la Edad o Sexo.;edad
328;1;1;aplica 1;60200;Procedimiento No aplica para la Edad o Sexo.;edad
329;1;1;aplica 1;60901;Procedimiento No aplica para la Edad o Sexo.;edad
330;1;1;aplica 1;60902;Procedimiento No aplica para la Edad o Sexo.;edad
331;1;1;aplica 1;60903;Procedimiento No aplica para la Edad o Sexo.;edad
332;1;1;aplica 1;60904;Procedimiento No aplica para la Edad o Sexo.;edad
333;1;1;aplica 1;61100;Procedimiento No aplica para la Edad o Sexo.;edad
334;1;1;aplica 1;61200;Procedimiento No aplica para la Edad o Sexo.;edad
335;1;1;aplica 1;61300;Procedimiento No aplica para la Edad o Sexo.;edad
336;1;1;aplica 1;62200;Procedimiento No aplica para la Edad o Sexo.;edad
337;1;1;aplica 1;63100;Procedimiento No aplica para la Edad o Sexo.;edad
