id;id_tarifario;codigo_cups;codigo_diagnostico
535;1;778931;Z800
536;1;778931;Z801
537;1;778931;Z802
538;1;778931;Z803
539;1;778931;Z804
540;1;778931;Z805
541;1;778931;Z807
542;1;778931;Z808
543;1;778931;Z809
544;1;778931;Z850
545;1;778931;Z851
546;1;778931;Z852
547;1;778931;Z853
548;1;778931;Z854
549;1;778931;Z855
550;1;778931;Z857
551;1;778931;Z858
552;1;778931;Z859
553;1;778931;Z860
554;1;120000;H210
555;1;143101;C692
556;1;143101;D312
557;1;143101;H330
558;1;143101;H331
559;1;143101;H332
560;1;143101;H333
561;1;143101;H334
562;1;143101;H335
563;1;143101;H340
564;1;143101;H341
565;1;143101;H342
566;1;143101;H354
567;1;143101;H355
568;1;143101;H357
569;1;143101;H358
570;1;143101;H359
571;1;143101;H368
572;1;143101;Q141
573;1;186200;C301
574;1;502201;C229
575;1;502201;C787
576;1;502201;D134
577;1;502201;D376
578;1;72100;A187
579;1;72100;C740
580;1;72100;C741
581;1;72100;C749
582;1;72100;C797
583;1;72100;D350
584;1;72100;D441
585;1;72100;E278
586;1;72100;E279
587;1;72100;E351
588;1;72100;Q891
589;1;660101;O008
590;1;660101;O009
591;1;660101;O080
592;1;660101;O081
593;1;660101;O082
594;1;660101;O083
595;1;660101;O084
596;1;660101;O085
597;1;660101;O086
598;1;660101;O087
599;1;660101;O088
600;1;660101;O089
601;1;694101;O710
602;1;694101;O711
603;1;750101;O021
604;1;750101;O030
605;1;750101;O031
606;1;750101;O032
607;1;750101;O033
608;1;750101;O034
609;1;750101;O035
610;1;750101;O036
611;1;750101;O037
612;1;750101;O038
613;1;750101;O039
614;1;750101;O040
615;1;750101;O041
616;1;750101;O042
617;1;750101;O043
618;1;750101;O044
619;1;750101;O045
620;1;750101;O046
621;1;750101;O047
622;1;750101;O048
623;1;750101;O049
624;1;750101;O050
625;1;750101;O051
626;1;750101;O052
627;1;750101;O053
628;1;750101;O054
629;1;750101;O055
630;1;750101;O056
631;1;750101;O057
632;1;750101;O058
633;1;750101;O059
634;1;750101;O060
635;1;750101;O061
636;1;750101;O062
637;1;750101;O063
638;1;750101;O064
639;1;750101;O065
640;1;750101;O066
641;1;750101;O067
642;1;750101;O068
643;1;750101;O069
644;1;750101;O070
645;1;750101;O071
646;1;750101;O072
647;1;750101;O073
648;1;750101;O074
