pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
183;A401;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B;4;Ambos
184;A402;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D;4;Ambos
185;A403;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE;4;Ambos
186;A408;OTRAS SEPTICEMIAS ESTREPTOCOCICAS;4;Ambos
187;A409;SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA;4;Ambos
188;A410;SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS;4;Ambos
189;A411;SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO;4;Ambos
190;A412;SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO;4;Ambos
191;A413;SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE;4;Ambos
192;A414;SEPTICEMIA DEBIDA A ANAEROBIOS;4;Ambos
193;A415;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS;4;Ambos
194;A418;OTRAS SEPTICEMIAS ESPECIFICADAS;4;Ambos
195;A419;SEPTICEMIA, NO ESPECIFICADA;4;Ambos
196;A420;ACTINOMICOSIS PULMONAR;4;Ambos
197;A421;ACTINOMICOSIS ABDOMINAL;4;Ambos
198;A422;ACTINOMICOSIS CERVICOFACIAL;4;Ambos
199;A427;SEPTICEMIA ACTINOMICOTICA;4;Ambos
200;A428;OTRAS FORMAS DE ACTINOMICOSIS;4;Ambos
201;A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION;4;Ambos
202;A430;NOCARDIOSIS PULMONAR;4;Ambos
203;A431;NOCARDIOSIS CUTANEA;4;Ambos
204;A438;OTRAS FORMAS DE NOCARDIOSIS;4;Ambos
205;A439;NORCARDIOSIS , NO ESPECIFICADA;4;Ambos
206;A440;BARTONELOSIS SISTEMICA;4;Ambos
207;A441;BARTONELOSIS CUTANEA Y MUCOCUTANEA;4;Ambos
208;A448;OTRAS FORMAS DE BARTONELOSIS;4;Ambos
209;A449;BARTONELOSIS, NO ESPECIFICADA;4;Ambos
210;A46;ERISIPELA;4;Ambos
211;A480;GANGRENA GASEOSA;4;Ambos
212;A481;ENFERMEDAD DE LOS LEGIONARIOS;4;Ambos
213;A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC];4;Ambos
214;A483;SINDROME DE CHOQUE TOXICO;4;Ambos
215;A484;FIEBRE PURPURICA BRASILEÛA;4;Ambos
